sample;annotation
молоко топленое 4%;[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE'), (16, 18, 'B-PERCENT')]
молоко фермерское 6;[(0, 6, 'B-TYPE'), (7, 17, 'I-TYPE'), (18, 19, 'B-PERCENT')]
молоко 5;[(0, 6, 'B-TYPE'), (5, 6, 'B-PERCENT')]
молоко 5 процентов;[(0, 6, 'B-TYPE'), (5, 6, 'B-PERCENT'), (7, 16, 'I-PERCENT')]
йогурт греческий 10 %;[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE'), (16, 18, 'B-PERCENT'), (19, 20, 'I-PERCENT')]
йогурт натуральный 3.2%;[(0, 6, 'B-TYPE'), (7, 18, 'I-TYPE'), (19, 23, 'B-PERCENT')]
кефир нежирный 1;[(0, 5, 'B-TYPE'), (6, 15, 'I-TYPE'), (16, 17, 'B-PERCENT')]
кефир густой 2.5%;[(0, 5, 'B-TYPE'), (6, 11, 'I-TYPE'), (12, 16, 'B-PERCENT')]
кефир густой 2,5%;[(0, 5, 'B-TYPE'), (6, 11, 'I-TYPE'), (12, 16, 'B-PERCENT')]
ряженка домашняя 4;[(0, 7, 'B-TYPE'), (8, 16, 'I-TYPE'), (17, 18, 'B-PERCENT')]
ряженка густая 3.8%;[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE'), (15, 19, 'B-PERCENT')]
сметана легкая 12 %;[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE'), (15, 17, 'B-PERCENT'), (18, 19, 'I-PERCENT')]
сметана фермерская 25%;[(0, 7, 'B-TYPE'), (8, 18, 'I-TYPE'), (19, 22, 'B-PERCENT')]
сметана легкая 12;[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE'), (15, 17, 'B-PERCENT')]
сметана фермерская 25;[(0, 7, 'B-TYPE'), (8, 18, 'I-TYPE'), (19, 22, 'B-PERCENT')]
сметана вкуснотеево 20;[(0, 7, 'B-TYPE'), (8, 19, 'B-BRAND'),(20, 22, 'B-PERCENT')]
творог зерненый 5%;[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE'), (16, 18, 'B-PERCENT')]
творог обезжиренный 0;[(0, 6, 'B-TYPE'), (7, 20, 'I-TYPE'), (21, 22, 'B-PERCENT')]
йогурт питьевой клубничный 2%;[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE'), (16, 27, 'I-TYPE'), (28, 30, 'B-PERCENT')]
сыр творожный 65%;[(0, 3, 'B-TYPE'), (4, 12, 'I-TYPE'), (13, 16, 'B-PERCENT')]
сыр мягкий 50 %;[(0, 3, 'B-TYPE'), (4, 9, 'I-TYPE'), (10, 12, 'B-PERCENT'), (13, 14, 'I-PERCENT')]
айран домашний 1.5%;[(0, 5, 'B-TYPE'), (6, 15, 'I-TYPE'), (16, 20, 'B-PERCENT')]
пахта 3;[(0, 5, 'B-TYPE'), (6, 7, 'B-PERCENT')]
молоко простоквашино 3.2%;[(0, 6, 'B-TYPE'), (7, 21, 'B-BRAND'), (22, 26, 'B-PERCENT')]
кефир danone 1 %;[(0, 5, 'B-TYPE'), (6, 12, 'B-BRAND'), (13, 15, 'B-PERCENT'), (16, 17, 'I-PERCENT')]
йогурт actimel 0;[(0, 6, 'B-TYPE'), (7, 14, 'B-BRAND'), (15, 16, 'B-PERCENT')]
ряженка campina 3.5%;[(0, 7, 'B-TYPE'), (8, 15, 'B-BRAND'), (16, 20, 'B-PERCENT')]
творог savushkin 9 %;[(0, 6, 'B-TYPE'), (7, 16, 'B-BRAND'), (17, 19, 'B-PERCENT'), (20, 21, 'I-PERCENT')]
йогурт чудо 2.5%;[(0, 6, 'B-TYPE'), (7, 11, 'B-BRAND'), (12, 16, 'B-PERCENT')]
молоко valio 1;[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND'), (13, 14, 'B-PERCENT')]
кефир президент 2 %;[(0, 5, 'B-TYPE'), (6, 15, 'B-BRAND'), (16, 18, 'B-PERCENT'), (19, 20, 'I-PERCENT')]
сыр hochland 50%;[(0, 3, 'B-TYPE'), (4, 12, 'B-BRAND'), (13, 16, 'B-PERCENT')]
масло president 82;[(0, 5, 'B-TYPE'), (6, 15, 'B-BRAND'), (16, 18, 'B-PERCENT')]
йогурт epica 5 %;[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND'), (13, 15, 'B-PERCENT'), (16, 17, 'I-PERCENT')]
сметана домик 20%;[(0, 7, 'B-TYPE'), (8, 13, 'B-BRAND'), (14, 17, 'B-PERCENT')]
сметана 30;[(0, 7, 'B-TYPE'),  (8, 10, 'B-PERCENT')]
творог valio 0;[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND'), (13, 14, 'B-PERCENT')]
творог  0;[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND'), (13, 14, 'B-PERCENT')]
сливки жирные 33 %;[(0, 6, 'B-TYPE'), (7, 13, 'I-TYPE'),(14, 16, 'B-PERCENT'), (17, 19, 'I-PERCENT')]
йогурт danone 4%;[(0, 6, 'B-TYPE'), (7, 13, 'B-BRAND'), (14, 16, 'B-PERCENT')]

пиво балтика 7;[(0, 4, 'B-TYPE'), (5, 12, 'B-BRAND'), (13, 14, 'B-PERCENT')]
пиво балтика 0;[(0, 4, 'B-TYPE'), (5, 12, 'B-BRAND'), (13, 14, 'B-PERCENT')]
пиво балтика 3;[(0, 4, 'B-TYPE'), (5, 12, 'B-BRAND'), (13, 14, 'B-PERCENT')]
пиво охота крепкое 8;[(0, 4, 'B-TYPE'), (5, 10, 'B-BRAND'), (11, 18, 'I-BRAND'), (19, 20, 'B-PERCENT')]

пиво живое 5%;[(0, 4, 'B-TYPE'), (5, 11, 'I-TYPE'), (12, 14, 'B-PERCENT')]
пиво хайнекен 4.8%;[(0, 4, 'B-TYPE'), (5, 13, 'B-BRAND'), (14, 18, 'B-PERCENT')]
пиво bud 4.5%;[(0, 4, 'B-TYPE'), (5, 8, 'B-BRAND'), (9, 13, 'B-PERCENT')]
пиво corona extra 4.6%;[(0, 4, 'B-TYPE'), (5, 11, 'B-BRAND'),(12, 17, 'I-BRAND'), (18, 22, 'B-PERCENT')]
пиво жигулёвское 4.7%;[(0, 4, 'B-TYPE'), (5, 16, 'B-BRAND'), (17, 21, 'B-PERCENT')]
вино красное 12 %;[(0, 4, 'B-TYPE'), (5, 12, 'I-TYPE'), (13, 15, 'B-PERCENT'), (16, 17, 'I-PERCENT')]
вино белое 11;[(0, 4, 'B-TYPE'), (5, 10, 'I-TYPE'), (11, 13, 'B-PERCENT')]
вино изабелла 10%;[(0, 4, 'B-TYPE'), (5, 13, 'B-BRAND'), (14, 17, 'B-PERCENT')]
шампанское абрау-дюрсо 12.5%;[(0, 10, 'B-TYPE'), (11, 23, 'B-BRAND'), (24, 29, 'B-PERCENT')]
коньяк арарат 40;[(0, 6, 'B-TYPE'), (7, 13, 'B-BRAND'), (14, 16, 'B-PERCENT')]
водка беленькая 40 %;[(0, 5, 'B-TYPE'), (6, 15, 'B-BRAND'), (16, 18, 'B-PERCENT'), (19, 20, 'I-PERCENT')]
водка финляндия 40;[(0, 5, 'B-TYPE'), (6, 16, 'B-BRAND'), (17, 19, 'B-PERCENT')]
сидр яблочный 4.7%;[(0, 4, 'B-TYPE'), (5, 13, 'I-TYPE'), (14, 18, 'B-PERCENT')]

сидр strongbow 4.5%;[(0, 4, 'B-TYPE'), (5, 14, 'B-BRAND'), (15, 19, 'B-PERCENT')]
сидр хардклассик 6;[(0, 4, 'B-TYPE'), (5, 15, 'B-BRAND'), (16, 17, 'B-PERCENT')]
ликер бейлис 17%;[(0, 5, 'B-TYPE'), (6, 12, 'B-BRAND'), (13, 16, 'B-PERCENT')]
ликер амаретто 28 %;[(0, 5, 'B-TYPE'), (6, 14, 'B-BRAND'), (15, 17, 'B-PERCENT'), (18, 19, 'I-PERCENT')]
ликер самбука 38;[(0, 5, 'B-TYPE'), (6, 13, 'B-BRAND'), (14, 16, 'B-PERCENT')]
настойка егермейстер 35%;[(0, 8, 'B-TYPE'), (9, 20, 'B-BRAND'), (21, 24, 'B-PERCENT')]
апероль 11;[(0, 7, 'B-BRAND'), (8, 10, 'B-PERCENT')]
кампари 25 %;[(0, 7, 'B-BRAND'), (8, 10, 'B-PERCENT'), (11, 12, 'I-PERCENT')]
вермут мартинни 15;[(0, 6, 'B-TYPE'), (7, 15, 'B-BRAND'), (16, 18, 'B-PERCENT')]
вермут чинзано 16%;[(0, 6, 'B-TYPE'), (7, 14, 'B-BRAND'), (15, 18, 'B-PERCENT')]
