sample;annotation
кефир 1 л;[(0, 5, 'B-TYPE'), (6, 7, 'B-VOLUME'), (8, 9, 'I-VOLUME')]
кефир 2 л;[(0, 5, 'B-TYPE'), (6, 7, 'B-VOLUME'), (8, 9, 'I-VOLUME')]
хлеб бородинский 0.5 кг;[(0, 4, 'B-TYPE'), (5, 15, 'I-TYPE'), (16, 19, 'B-VOLUME'), (20, 22, 'I-VOLUME')]
пельмени сибирские 500 г;[(0, 7, 'B-TYPE'), (8, 17, 'I-TYPE'), (18, 21, 'B-VOLUME'), (22, 23, 'I-VOLUME')]
масло сливочное 180 г;[(0, 5, 'B-TYPE'), (6, 15, 'I-TYPE'), (16, 19, 'B-VOLUME'), (20, 21, 'I-VOLUME')]
сметана 20% 400 г;[(0, 6, 'B-TYPE'), (7, 10, 'B-PERCENT'), (11, 14, 'B-VOLUME'), (15, 16, 'I-VOLUME')]
рис жасмин 1 кг;[(0, 3, 'B-TYPE'), (4, 10, 'I-TYPE'), (11, 12, 'B-VOLUME'), (13, 15, 'I-VOLUME')]
кола coca cola 2 л;[(0, 4, 'B-TYPE'), (5, 9, 'B-BRAND'), (10, 13, 'I-BRAND'), (14, 15, 'B-VOLUME'), (16, 17, 'I-VOLUME')]
чипсы lays 150 г;[(0, 5, 'B-TYPE'), (6, 10, 'B-BRAND'), (11, 14, 'B-VOLUME'), (15, 16, 'I-VOLUME')]
мороженое пломбир 100 г;[(0, 9, 'B-TYPE'), (10, 17, 'I-TYPE'), (18, 21, 'B-VOLUME'), (22, 23, 'I-VOLUME')]
шампунь clear 400 мл;[(0, 7, 'B-TYPE'), (8, 13, 'B-BRAND'), (14, 17, 'B-VOLUME'), (18, 20, 'I-VOLUME')]
мыло жидкое 300 мл;[(0, 3, 'B-TYPE'), (4, 11, 'I-TYPE'), (12, 15, 'B-VOLUME'), (16, 18, 'I-VOLUME')]
кофе молотый 250 г;[(0, 4, 'B-TYPE'), (5, 11, 'I-TYPE'), (12, 15, 'B-VOLUME'), (16, 17, 'I-VOLUME')]
чай greenfield 100 пак;[(0, 3, 'B-TYPE'), (4, 14, 'B-BRAND'), (15, 18, 'B-VOLUME'), (19, 22, 'I-VOLUME')]
чай сто пакетиков;[(0, 3, 'B-TYPE'), (4, 7, 'B-VOLUME'), (8, 17, 'I-VOLUME')]
печенье юбилейное 200 г;[(0, 7, 'B-TYPE'), (8, 18, 'I-TYPE'), (19, 22, 'B-VOLUME'), (23, 24, 'I-VOLUME')]
майонез столовый 500 г;[(0, 8, 'B-TYPE'), (9, 17, 'I-TYPE'), (18, 21, 'B-VOLUME'), (22, 23, 'I-VOLUME')]
фанта большой объём;[(0, 5, 'B-TYPE'), (6, 13, 'B-VOLUME'), (14, 19 , 'I-VOLUME')]
кока кола большая бутылка;[(0, 4, 'B-TYPE'),(5, 9, 'I-TYPE'), (10, 17, 'B-VOLUME'), (18, 25 , 'I-VOLUME')]
