sample;annotation
сыр фета 30%;[(0,3, 'B-TYPE'), (4,8, 'I-TYPE'), (9,12, 'B-PERCENT')]
ряженка термостатная 4%;[(0,7, 'B-TYPE'), (8,20, 'I-TYPE'), (21,23, 'B-PERCENT')]
масло крестьянское 72.5%;[(0,5, 'B-TYPE'), (6,17, 'I-TYPE'), (18,23, 'B-PERCENT')]
сметана нежирная 15%;[(0,7, 'B-TYPE'), (8,16, 'I-TYPE'), (17,20, 'B-PERCENT')]
йогурт питьевой 2.5%;[(0,6, 'B-TYPE'), (7,15, 'I-TYPE'), (16,20, 'B-PERCENT')]
кефир обезжиренный 1%;[(0,5, 'B-TYPE'), (6,17, 'I-TYPE'), (18,20, 'B-PERCENT')]
молоко козье 3.5%;[(0,6, 'B-TYPE'), (7,12, 'I-TYPE'), (13,17, 'B-PERCENT')]
творог диетический 0%;[(0,6, 'B-TYPE'), (7,18, 'I-TYPE'), (19,21, 'B-PERCENT')]
сыр моцарелла 40%;[(0,3, 'B-TYPE'), (4,13, 'I-TYPE'), (14,17, 'B-PERCENT')]
простокваша 2.5%;[(0,10, 'B-TYPE'), (11,15, 'B-PERCENT')]
ацидофилин 3.2%;[(0,9, 'B-TYPE'), (10,14, 'B-PERCENT')]
кумыс 4%;[(0,5, 'B-TYPE'), (6,8, 'B-PERCENT')]
катык 3.5%;[(0,5, 'B-TYPE'), (6,10, 'B-PERCENT')]
сыр чеддер 50%;[(0,3, 'B-TYPE'), (4,10, 'I-TYPE'), (11,14, 'B-PERCENT')]
шоколад горький 70%;[(0,7, 'B-TYPE'), (8,15, 'I-TYPE'), (16,19, 'B-PERCENT')]
сок апельсиновый 100%;[(0,3, 'B-TYPE'), (4,15, 'I-TYPE'), (16,19, 'B-PERCENT')]
кофе растворимый 100%;[(0,4, 'B-TYPE'), (5,15, 'I-TYPE'), (16,19, 'B-PERCENT')]
сахар тростниковый 95%;[(0,5, 'B-TYPE'), (6,16, 'I-TYPE'), (17,20, 'B-PERCENT')]
творог 2%;[(0,6, 'B-TYPE'), (7,9, 'B-PERCENT')]
творог 4 %;[(0,6, 'B-TYPE'), (7,8, 'B-PERCENT'), (9,10, 'I-PERCENT')]
сыр 30%;[(0,3, 'B-TYPE'), (4,7, 'B-PERCENT')]
сыр 45 %;[(0,3, 'B-TYPE'), (4,6, 'B-PERCENT'), (7,8, 'I-PERCENT')]
сметана 20%;[(0,7, 'B-TYPE'), (8,11, 'B-PERCENT')]
йогурт 3.2%;[(0,6, 'B-TYPE'), (7,11, 'B-PERCENT')]
йогурт 6%;[(0,6, 'B-TYPE'), (7,9, 'B-PERCENT')]
молоко 2.5 %;[(0,6, 'B-TYPE'), (7,11, 'B-PERCENT'), (12,13, 'I-PERCENT')]
